split,band,target,coefficient,n_rows,rmse,mae,r2,mape,smape,model,split_mode,fidelity_mode
train,B1,T_total,T_total,30731,0.009734205568399332,0.006431779164837517,0.9927446038224983,1.126283204484534,1.1241343907181562,pkan,ood_aod_cwv,oracle_residual
train,B1,rho_path,rho_path,30731,0.0025927287567224233,0.0018386609859829793,0.9965541374110348,1.4671618484212885,1.46182397918601,pkan,ood_aod_cwv,oracle_residual
train,B1,spher_alb,spher_alb,30731,0.002053234170065331,0.0015465790949976915,0.997803431251248,0.6818050216981262,0.6807081943324409,pkan,ood_aod_cwv,oracle_residual
train,B10,T_total,T_total,7019,0.012738530481093139,0.010171716005740308,-22.98291844449561,382326.7972723048,183.9916751066153,pkan,ood_aod_cwv,oracle_residual
train,B10,rho_path,rho_path,7019,0.0014742895312757891,0.0011547325678252789,-9.46496656118048,136.59404434230143,82.10953439439625,pkan,ood_aod_cwv,oracle_residual
train,B10,spher_alb,spher_alb,7019,0.06966033176950934,0.020057778266429193,0.591703294248617,163217.2581556867,74.80047530497998,pkan,ood_aod_cwv,oracle_residual
train,B11,T_total,T_total,30731,0.006259477225774764,0.004666281436555715,0.9860615406057177,0.5236744848090372,0.5225785179134207,pkan,ood_aod_cwv,oracle_residual
train,B11,rho_path,rho_path,30731,0.0011449690679858485,0.0007424343354304323,0.9842881131864641,13.799944366494863,11.524019735471756,pkan,ood_aod_cwv,oracle_residual
train,B11,spher_alb,spher_alb,30731,0.0027080205515404303,0.00199954069163181,0.9868899653619214,8.834073732229715,7.311707076950362,pkan,ood_aod_cwv,oracle_residual
train,B12,T_total,T_total,30731,0.0052887116560694095,0.004067622318862414,0.9866015347186611,0.4986177901190404,0.497999409166173,pkan,ood_aod_cwv,oracle_residual
train,B12,rho_path,rho_path,30731,0.0008933617252730279,0.0006039081730623011,0.9614659025512922,27.882480278288103,21.220803135791687,pkan,ood_aod_cwv,oracle_residual
train,B12,spher_alb,spher_alb,30731,0.0022925452526464107,0.0016571817374493633,0.9790261811521102,13.955521295805088,11.277790421958638,pkan,ood_aod_cwv,oracle_residual
train,B2,T_total,T_total,30731,0.00864553890404841,0.005500283369981231,0.9940888768605899,0.8695633706276256,0.8674331510422182,pkan,ood_aod_cwv,oracle_residual
train,B2,rho_path,rho_path,30731,0.001975991907652146,0.0013430812942368236,0.9972367386876845,1.6632159724082707,1.6564483818050555,pkan,ood_aod_cwv,oracle_residual
train,B2,spher_alb,spher_alb,30731,0.0019210397341513344,0.0014247160289395484,0.9983968964583895,0.834855517426693,0.8321027973840769,pkan,ood_aod_cwv,oracle_residual
train,B3,T_total,T_total,30731,0.008779601517335095,0.005990079481018063,0.9934168772412573,0.9277471711398215,0.9268230587413251,pkan,ood_aod_cwv,oracle_residual
train,B3,rho_path,rho_path,30731,0.0017854337785702641,0.0012323526964806227,0.9970626059361377,1.9412493133919029,1.929346253925315,pkan,ood_aod_cwv,oracle_residual
train,B3,spher_alb,spher_alb,30731,0.002020682419282853,0.0015386579820275837,0.998262061887885,1.0364385552842534,1.0301952403672079,pkan,ood_aod_cwv,oracle_residual
train,B4,T_total,T_total,30731,0.007547618216928925,0.004860978008057502,0.9945040393622903,0.6976673155615291,0.696774747496325,pkan,ood_aod_cwv,oracle_residual
train,B4,rho_path,rho_path,30731,0.001408925054825704,0.0009481377746239617,0.9977348143316412,2.1586295114742184,2.138028304039006,pkan,ood_aod_cwv,oracle_residual
train,B4,spher_alb,spher_alb,30731,0.001603593332128913,0.0012006564806180766,0.9988643219540968,1.0571541207752746,1.0475973089073587,pkan,ood_aod_cwv,oracle_residual
train,B5,T_total,T_total,30731,0.008200884222571288,0.005976520836331967,0.993459649670511,0.911340626680951,0.912166971022971,pkan,ood_aod_cwv,oracle_residual
train,B5,rho_path,rho_path,30731,0.0012907330756672586,0.0008805390537810183,0.9974574891785188,2.462594817103133,2.441223076787944,pkan,ood_aod_cwv,oracle_residual
train,B5,spher_alb,spher_alb,30731,0.001700478914597745,0.0012827864273936976,0.9985610344093953,1.387492736824056,1.37521422236945,pkan,ood_aod_cwv,oracle_residual
train,B6,T_total,T_total,30731,0.007121769312194207,0.004612561971233319,0.9947450265651754,0.6040939841761527,0.6029822979615448,pkan,ood_aod_cwv,oracle_residual
train,B6,rho_path,rho_path,30731,0.001247581015438414,0.0008431563800524666,0.997988916537363,2.396360191940655,2.3715474470562574,pkan,ood_aod_cwv,oracle_residual
train,B6,spher_alb,spher_alb,30731,0.0015168581464302187,0.0011500154510162238,0.9988905207964491,1.23004855062423,1.2155520506092488,pkan,ood_aod_cwv,oracle_residual
train,B7,T_total,T_total,30731,0.0072219852681712875,0.004646914423875566,0.9945184887771646,0.5946649464998393,0.593159027953306,pkan,ood_aod_cwv,oracle_residual
train,B7,rho_path,rho_path,30731,0.0012447462707278392,0.0008623169959699436,0.9978933094821208,2.797620011905792,2.763992864259313,pkan,ood_aod_cwv,oracle_residual
train,B7,spher_alb,spher_alb,30731,0.0014870668230388907,0.0011592703328927732,0.998903946085497,1.2835724930561774,1.2696266965120118,pkan,ood_aod_cwv,oracle_residual
train,B8,T_total,T_total,30731,0.007100856206148213,0.004703736616342378,0.994354264125471,0.6257199577545984,0.6250909917724322,pkan,ood_aod_cwv,oracle_residual
train,B8,rho_path,rho_path,30731,0.0011918102954188712,0.0008281834276953649,0.9978308626557614,2.888831875936164,2.836136132454773,pkan,ood_aod_cwv,oracle_residual
train,B8,spher_alb,spher_alb,30731,0.0015295604504322517,0.0011714622169846512,0.9987860613772725,1.4515290592146761,1.4276078726159471,pkan,ood_aod_cwv,oracle_residual
train,B8A,T_total,T_total,30731,0.007132315462531684,0.004659431755187815,0.9941141047693266,0.5768472190298247,0.5758338822994379,pkan,ood_aod_cwv,oracle_residual
train,B8A,rho_path,rho_path,30731,0.001213401104286376,0.0008290483552226357,0.9974889873338919,3.3664097201244143,3.286837835548161,pkan,ood_aod_cwv,oracle_residual
train,B8A,spher_alb,spher_alb,30731,0.0016819452724205382,0.0012928612013762785,0.9984098369740554,1.756012486762938,1.7170403109749148,pkan,ood_aod_cwv,oracle_residual
train,B9,T_total,T_total,30731,0.014350936986274652,0.008670421256443907,0.991056334555002,4.930069685207836,5.211987188201038,pkan,ood_aod_cwv,oracle_residual
train,B9,rho_path,rho_path,30731,0.001318072039005539,0.00087896157616596,0.9798215692799374,8.393152141700046,8.408289238664327,pkan,ood_aod_cwv,oracle_residual
train,B9,spher_alb,spher_alb,30731,0.0024516448446193152,0.0018426911759908315,0.9921158317502877,8.415247614047816,8.637666174661437,pkan,ood_aod_cwv,oracle_residual
val,B1,T_total,T_total,5422,0.01062332197797272,0.0068060388175027915,0.9910602094595494,1.1974082294324557,1.1954157327227453,pkan,ood_aod_cwv,oracle_residual
val,B1,rho_path,rho_path,5422,0.002703928285014742,0.0018811476822600335,0.9961730593059368,1.4917288588084325,1.4872395993470466,pkan,ood_aod_cwv,oracle_residual
val,B1,spher_alb,spher_alb,5422,0.002065504685972701,0.0015495148989293286,0.9977798212187959,0.6849465867943603,0.6839502240845614,pkan,ood_aod_cwv,oracle_residual
val,B10,T_total,T_total,1227,0.013057538341697974,0.010428214364058597,-26.682937516571524,424089.6134394077,186.32835892162836,pkan,ood_aod_cwv,oracle_residual
val,B10,rho_path,rho_path,1227,0.001543207906292866,0.0011765240657069598,-12.509823876256531,143.29659345247572,83.09646111708034,pkan,ood_aod_cwv,oracle_residual
val,B10,spher_alb,spher_alb,1227,0.08137961710023126,0.02486306583511429,0.43472392622098066,213651.01499832535,78.38098868887414,pkan,ood_aod_cwv,oracle_residual
val,B11,T_total,T_total,5422,0.006405575544521694,0.004774636159915847,0.985087812847775,0.5357157161188945,0.5346361420236156,pkan,ood_aod_cwv,oracle_residual
val,B11,rho_path,rho_path,5422,0.0011355879569506083,0.0007486648798859837,0.984455779845489,13.644868377416747,11.5119855549289,pkan,ood_aod_cwv,oracle_residual
val,B11,spher_alb,spher_alb,5422,0.00278848806222892,0.002057078239015409,0.9863674872116339,8.76928656637083,7.424116193734946,pkan,ood_aod_cwv,oracle_residual
val,B12,T_total,T_total,5422,0.005299365725953697,0.0040970883524228795,0.986534104795255,0.502041622567322,0.5013196872450054,pkan,ood_aod_cwv,oracle_residual
val,B12,rho_path,rho_path,5422,0.0009216402529672276,0.0006154361961723994,0.9589076436297389,27.960317182755258,21.867240783864407,pkan,ood_aod_cwv,oracle_residual
val,B12,spher_alb,spher_alb,5422,0.0023725639059965294,0.0017091373026144024,0.9780694426447643,14.08942159128338,11.678117175806142,pkan,ood_aod_cwv,oracle_residual
val,B2,T_total,T_total,5422,0.009485082964384786,0.005856330633954956,0.9926409768709461,0.9276953947752405,0.9250972058049752,pkan,ood_aod_cwv,oracle_residual
val,B2,rho_path,rho_path,5422,0.0020920337288109084,0.0013901419396199937,0.9968422939402649,1.7015936617208127,1.6953853813546995,pkan,ood_aod_cwv,oracle_residual
val,B2,spher_alb,spher_alb,5422,0.0019565857736231493,0.0014504222594385698,0.9983401482469276,0.8468601386400114,0.8447768804434517,pkan,ood_aod_cwv,oracle_residual
val,B3,T_total,T_total,5422,0.009535185448761484,0.006324444819490481,0.9919690817100554,0.9821071151457444,0.9807631178250821,pkan,ood_aod_cwv,oracle_residual
val,B3,rho_path,rho_path,5422,0.0018808978376834795,0.0012654435478373456,0.9966840913014171,1.9669755998483676,1.955076415166313,pkan,ood_aod_cwv,oracle_residual
val,B3,spher_alb,spher_alb,5422,0.0020462229243681496,0.0015642509236794386,0.9982225973825206,1.0475884787949756,1.0420054329284594,pkan,ood_aod_cwv,oracle_residual
val,B4,T_total,T_total,5422,0.008234127956625417,0.005170682052851866,0.9932684560545028,0.7430718831870173,0.7421361333985764,pkan,ood_aod_cwv,oracle_residual
val,B4,rho_path,rho_path,5422,0.0014830093986575629,0.000975875918588892,0.9974407919333055,2.187106432968058,2.167050870798596,pkan,ood_aod_cwv,oracle_residual
val,B4,spher_alb,spher_alb,5422,0.0016130086747466483,0.0011951278487020468,0.9988554902750482,1.0455034740808655,1.0366017267307717,pkan,ood_aod_cwv,oracle_residual
val,B5,T_total,T_total,5422,0.008599683819188245,0.006084120535226116,0.9927896260235882,0.9249816586808908,0.9258208142569869,pkan,ood_aod_cwv,oracle_residual
val,B5,rho_path,rho_path,5422,0.0013508469393555057,0.0008960790198388375,0.9971327995280819,2.4982463419098466,2.4788864071767014,pkan,ood_aod_cwv,oracle_residual
val,B5,spher_alb,spher_alb,5422,0.0016850424317023146,0.0012508928727692496,0.9985896115354977,1.346105311857349,1.3348891475359814,pkan,ood_aod_cwv,oracle_residual
val,B6,T_total,T_total,5422,0.007723064746604881,0.004845101744958898,0.993641413053408,0.6358125319151913,0.6347770588333415,pkan,ood_aod_cwv,oracle_residual
val,B6,rho_path,rho_path,5422,0.0012756694815061046,0.0008632650874398459,0.9978561389685076,2.4410784305415776,2.417122663617692,pkan,ood_aod_cwv,oracle_residual
val,B6,spher_alb,spher_alb,5422,0.001493183998094395,0.0011249437322891625,0.9989314648573535,1.2116385939135472,1.1977300373224111,pkan,ood_aod_cwv,oracle_residual
val,B7,T_total,T_total,5422,0.007850412509032633,0.004951146707812696,0.9933220275318537,0.6343946467007812,0.6329311621019844,pkan,ood_aod_cwv,oracle_residual
val,B7,rho_path,rho_path,5422,0.0012646075492143368,0.0008816888052777792,0.997785782630976,2.856996291302701,2.824012580619306,pkan,ood_aod_cwv,oracle_residual
val,B7,spher_alb,spher_alb,5422,0.0014688984549463167,0.0011409527949551865,0.9989381274162221,1.2839669456687022,1.2705673248326155,pkan,ood_aod_cwv,oracle_residual
val,B8,T_total,T_total,5422,0.007582513903384684,0.004871373250668272,0.9934322511868012,0.6489451804607104,0.6485604393127001,pkan,ood_aod_cwv,oracle_residual
val,B8,rho_path,rho_path,5422,0.001210978263925063,0.0008378080128441654,0.997712769739428,2.9152392468700437,2.866520390118449,pkan,ood_aod_cwv,oracle_residual
val,B8,spher_alb,spher_alb,5422,0.0015042889175035721,0.0011516019982969088,0.9988332968731319,1.435764412242828,1.4143755160843106,pkan,ood_aod_cwv,oracle_residual
val,B8A,T_total,T_total,5422,0.0077076458726535735,0.004924802933395327,0.9929149982819688,0.6108779256590916,0.6099933673544728,pkan,ood_aod_cwv,oracle_residual
val,B8A,rho_path,rho_path,5422,0.0011976084765707054,0.0008359845667220006,0.9975120718508257,3.4196563689090604,3.344589427027337,pkan,ood_aod_cwv,oracle_residual
val,B8A,spher_alb,spher_alb,5422,0.001660342153135382,0.0012808509245899628,0.9984645315739075,1.7503209397268706,1.7130826316270873,pkan,ood_aod_cwv,oracle_residual
val,B9,T_total,T_total,5422,0.014063463430282308,0.008467660418727319,0.9913015034885188,4.971515986168933,5.235514147907566,pkan,ood_aod_cwv,oracle_residual
val,B9,rho_path,rho_path,5422,0.0013050521426359275,0.0008811920077228394,0.978164737885288,8.44347850976974,8.48336486940397,pkan,ood_aod_cwv,oracle_residual
val,B9,spher_alb,spher_alb,5422,0.002490857781579344,0.0018737220922116875,0.9916558741332812,8.849525213466457,9.030954745046458,pkan,ood_aod_cwv,oracle_residual
